Humidity: 59.90 %, Temp: 26.40 Celsius
Humidity: 67.30 %, Temp: 27.20 Celsius
Humidity: 74.20 %, Temp: 27.20 Celsius
Humidity: 80.40 %, Temp: 27.20 Celsius
Humidity: 99.90 %, Temp: 27.40 Celsius
Humidity: 99.90 %, Temp: 27.90 Celsius
Humidity: 99.90 %, Temp: 28.00 Celsius
Humidity: 99.90 %, Temp: 29.30 Celsius
Humidity: 99.90 %, Temp: 29.50 Celsius
Humidity: 99.90 %, Temp: 30.30 Celsius
Humidity: 99.90 %, Temp: 30.70 Celsius
Humidity: 99.90 %, Temp: 30.90 Celsius
Humidity: 99.90 %, Temp: 31.30 Celsius
Humidity: 99.90 %, Temp: 31.40 Celsius
Humidity: 99.90 %, Temp: 31.50 Celsius
Humidity: 99.90 %, Temp: 31.80 Celsius
Humidity: 99.90 %, Temp: 32.00 Celsius
Humidity: 99.90 %, Temp: 32.30 Celsius
Humidity: 99.90 %, Temp: 32.50 Celsius
Humidity: 99.90 %, Temp: 32.40 Celsius
Humidity: 99.90 %, Temp: 32.40 Celsius
Humidity: 99.90 %, Temp: 32.70 Celsius
Humidity: 99.90 %, Temp: 32.80 Celsius
Humidity: 99.90 %, Temp: 32.80 Celsius
Humidity: 99.90 %, Temp: 32.90 Celsius
Humidity: 99.90 %, Temp: 32.90 Celsius
Humidity: 99.90 %, Temp: 32.90 Celsius
Humidity: 99.90 %, Temp: 32.90 Celsius
Humidity: 99.90 %, Temp: 32.90 Celsius
Humidity: 99.90 %, Temp: 32.90 Celsius
Humidity: 99.90 %, Temp: 32.70 Celsius
Humidity: 99.90 %, Temp: 32.40 Celsius
Humidity: 99.90 %, Temp: 32.10 Celsius
Humidity: 99.90 %, Temp: 31.60 Celsius
Humidity: 99.90 %, Temp: 31.30 Celsius
Humidity: 99.90 %, Temp: 30.90 Celsius
Humidity: 99.90 %, Temp: 30.60 Celsius
Humidity: 99.90 %, Temp: 30.30 Celsius
Humidity: 99.90 %, Temp: 30.30 Celsius
Humidity: 96.00 %, Temp: 30.10 Celsius
Humidity: 92.00 %, Temp: 30.10 Celsius
Humidity: 90.40 %, Temp: 30.00 Celsius
Humidity: 85.00 %, Temp: 29.80 Celsius
Humidity: 81.40 %, Temp: 29.80 Celsius
Humidity: 75.70 %, Temp: 29.70 Celsius
Humidity: 70.80 %, Temp: 29.60 Celsius
Humidity: 67.30 %, Temp: 29.60 Celsius
Humidity: 67.80 %, Temp: 29.50 Celsius
Humidity: 62.70 %, Temp: 29.40 Celsius
Humidity: 58.80 %, Temp: 29.30 Celsius
Humidity: 58.50 %, Temp: 29.30 Celsius
Humidity: 55.80 %, Temp: 29.20 Celsius
Humidity: 54.20 %, Temp: 29.20 Celsius
Humidity: 53.10 %, Temp: 29.10 Celsius
Humidity: 50.70 %, Temp: 29.00 Celsius
Humidity: 49.80 %, Temp: 29.00 Celsius
Humidity: 50.00 %, Temp: 29.00 Celsius
Humidity: 47.50 %, Temp: 28.90 Celsius
Humidity: 46.00 %, Temp: 28.90 Celsius
Humidity: 44.70 %, Temp: 28.90 Celsius
Humidity: 44.10 %, Temp: 28.90 Celsius
Humidity: 43.60 %, Temp: 28.90 Celsius
Humidity: 42.70 %, Temp: 28.90 Celsius
Humidity: 40.80 %, Temp: 28.80 Celsius
Humidity: 40.10 %, Temp: 28.80 Celsius
Humidity: 39.60 %, Temp: 28.80 Celsius
Humidity: 39.70 %, Temp: 28.70 Celsius
Humidity: 39.40 %, Temp: 28.70 Celsius
Humidity: 39.00 %, Temp: 28.70 Celsius
Humidity: 37.60 %, Temp: 28.60 Celsius
Humidity: 37.40 %, Temp: 28.60 Celsius
Humidity: 37.30 %, Temp: 28.60 Celsius
Humidity: 36.70 %, Temp: 28.60 Celsius
Humidity: 36.60 %, Temp: 28.50 Celsius
Humidity: 36.40 %, Temp: 28.50 Celsius
Humidity: 36.30 %, Temp: 28.40 Celsius
Humidity: 35.90 %, Temp: 28.40 Celsius
Humidity: 35.90 %, Temp: 28.40 Celsius
Humidity: 35.80 %, Temp: 28.30 Celsius
Humidity: 35.70 %, Temp: 28.30 Celsius
Humidity: 35.70 %, Temp: 28.20 Celsius
Humidity: 35.80 %, Temp: 28.20 Celsius
Humidity: 35.80 %, Temp: 28.20 Celsius
Humidity: 35.60 %, Temp: 28.10 Celsius
Humidity: 35.50 %, Temp: 28.10 Celsius
Humidity: 35.50 %, Temp: 28.10 Celsius
Humidity: 35.30 %, Temp: 28.10 Celsius
Humidity: 35.40 %, Temp: 28.10 Celsius
Humidity: 35.30 %, Temp: 28.00 Celsius
Humidity: 35.10 %, Temp: 28.00 Celsius
Humidity: 35.10 %, Temp: 28.00 Celsius
Humidity: 35.30 %, Temp: 27.90 Celsius
